SpeciesName,IL_Site,IndividualNumber,ave_melanism_dorsal,ave_melanism_ventral,HSV_V_dorsal,HSV_V_ventral,HSV_S_dorsal,HSV_S_ventral,HSV_H_dorsal,HSV_H_ventral
Agonoleptus conjunctus,WOOD,16,200.088,211.905,72.577,78.554,0.14087107485842618,0.18705603788476727,16.461267605633864,22.993058391180085
Agonum gratiosum,WOOD,2,169.175,194.577,64.389,77.31,0.21926105390672307,0.3014099081619455,18.03654908627286,23.820272937945234
Agonum gratiosum,WOOD,21,197.233,187.576,76.117,75.555,0.254371559572763,0.32711269935808357,23.56987914471646,25.10459235282215
Agonum gratiosum,WOOD,3,172.884,189.224,66.017,75.141,0.22715361194843744,0.2982792350381283,19.305148039477203,23.094632579306634
Agonum gratiosum,WOOD,37,185.615,183.544,68.199,71.036,0.1659995014589657,0.2557294892730448,19.39757971910606,22.353847847627417
Agonum gratiosum,WOOD,4,173.387,149.479,65.902,54.498,0.21515280264635375,0.14264743660317813,17.091473305592757,11.831746848469313
Agonum gratiosum,WOOD,1,181.074,179.184,68.646,70.497,0.21804620808204414,0.27089095989900275,20.331373597006944,18.49609886369586
Anisodactylus harrisii,WOOD,26,137.198,130.663,48.081,45.74,0.08215303342276581,0.07820288587669448,12.987341772151881,10.013978194017316
Anisodactylus harrisii,WOOD,2,170.991,136.678,61.576,50.526,0.12586072495777575,0.16308435261053708,13.649032258064478,11.504854368932032
Anisodactylus harrisii,WOOD,4,160.987,169.064,57.57,63.715,0.11116901163800598,0.19551126108451702,10.096875,13.64533996949506
Anisodactylus harrisii,WOOD,3,157.929,160.298,56.367,58.411,0.10921283729841923,0.14516101419253227,11.11111111111111,14.315367378228535
Anisodactylus harrisii,WOOD,27,146.99,135.744,51.588,47.952,0.08556253392261759,0.09786870203536865,14.32714091526957,16.28808864265934
Anisodactylus harrisii,WOOD,11,157.015,137.6,54.474,49.597,0.06779380989095704,0.12982640079037042,15.905767668562081,15.719832272091892
Anisodactylus nigrita,WOOD,17,154.347,139.737,53.727,49.422,0.07065348893480003,0.10159443162963859,11.981032665964245,18.08006373232428
Anisodactylus nigrita,WOOD,15,177.035,155.231,60.935,53.099,0.05331911052761147,0.05813668807322164,346.55586334256685,319.02818270165216
Anisodactylus nigrita,WOOD,20,144.382,136.319,51.106,49.724,0.09531170508355183,0.15495535355160484,9.928146171217321,19.91174561972744
Anisodactylus nigrita,WOOD,18,135.828,178.327,46.639,61.765,0.04481228156692909,0.0647454059742573,2.6124401913876474,15.453863465866398
Anisodactylus nigrita,WOOD,14,167.181,160.139,57.307,55.951,0.05207042769644202,0.08053475362370639,335.30831099195706,342.7163781624501
Anisodactylus nigrita,WOOD,21,148.67,149.619,52.472,53.247,0.08774203384662288,0.10853193607151568,6.020851433535946,14.909153832843051
Anisodactylus nigrita,WOOD,19,153.418,132.656,53.416,46.55,0.07106484948330079,0.08696025778732536,12.044257112750305,16.33399209486167
Bembidion quadrimaculatum oppositum,WOOD,7,246.584,231.987,93.903,89.174,0.25825585977018833,0.26306995312535053,33.09636716011709,29.113772965599534
Brachinus alternans,DELA,8,176.393,196.227,71.398,85.423,0.30628308916216135,0.41871627079358015,16.284068044631425,19.28092149407292
Brachinus alternans,UKFS,6,193.417,273.555,77.828,108.443,0.3024104435421699,0.28639930654814044,17.85774983004758,19.97939339300662
Brachinus alternans,DELA,1,242.93,251.239,96.209,105.885,0.2928624141192612,0.3942956981631015,22.68952299829644,24.55185628742513
Brachinus alternans,UKFS,7,214.577,232.274,86.114,100.286,0.3208305269758693,0.42153441158287297,24.95511799623572,22.657898471873956
Brachinus alternans,DELA,5,188.292,203.322,78.428,90.955,0.3523741520885397,0.4522236270683304,17.9765523230569,18.5563551492755
Brachinus alternans,UKFS,3,199.854,291.206,82.114,111.641,0.3398811408529606,0.23636477638143694,20.058045791680094,20.597999090495673
Brachinus alternans,UKFS,2,191.809,296.001,77.662,116.943,0.3163194355025626,0.2880805178591279,19.42929251811448,22.351509394757926
Brachinus alternans,DELA,7,199.903,231.852,81.058,101.11,0.3202891756520025,0.42769261200672537,19.997688929974583,20.82601054481547
Brachinus alternans,DELA,9,178.195,196.707,71.358,87.861,0.2987191345048908,0.4579164817154369,19.008256708575708,20.26694504511222
Brachinus alternans,DELA,4,234.756,230.245,93.705,100.325,0.30183021183501413,0.42361325691502616,21.6532899621681,20.14353278900679
Brachinus alternans,UKFS,4,176.356,281.595,72.27,112.079,0.32342604123426044,0.2919637041729494,16.156413108582175,19.809919628395942
Brachinus alternans,UKFS,9,195.91,267.835,78.371,108.565,0.2972145308851488,0.33028139824068536,19.017730648692734,23.18208439077447
Brachinus alternans,UKFS,1,193.65,284.511,77.311,108.83,0.2940849296995253,0.23131489479003947,18.971674876847302,19.946770477476765
Brachinus alternans,UKFS,2,202.635,224.939,82.413,99.255,0.3302755633213206,0.46707974409349656,21.67750468422795,25.747195858498714
Brachinus alternans,DELA,7,231.131,236.187,89.419,97.221,0.239859537682148,0.34194258442106124,16.141365162252892,19.874864637227773
Brachinus alternans,DELA,6,215.466,229.313,88.261,99.095,0.33542561267150833,0.41516726373681817,20.049991555480517,20.86969203470989
Brachinus alternans,UKFS,14,167.501,195.22,66.403,82.836,0.28397813351806395,0.393017528610749,19.11014477382404,21.791374861776625
Brachinus alternans,UKFS,5,184.281,294.012,75.538,116.332,0.32783499695517493,0.2868170408829901,17.432563398481676,21.12569681711923
Brachinus alternans,DELA,2,200.159,196.533,79.169,85.815,0.27302353193800605,0.4240633921808541,16.327550312283126,19.570772993322528
Brachinus alternans,UKFS,7,192.653,262.925,79.429,108.005,0.3563434010248146,0.3497893616036295,23.263143018654596,22.97784483443183
Brachinus alternans,DELA,3,180.015,208.902,73.345,91.001,0.3166814370441066,0.42137998483533146,16.62031256727083,19.701142231262697
Brachinus alternans,UKFS,15,204.439,201.487,81.649,84.574,0.297064262881358,0.3718400454040249,19.794681508967212,20.340244212668537
Brachinus alternans,UKFS,1,224.163,218.33,91.116,98.544,0.3434742526010799,0.4972093684039617,25.703604294478524,25.33869420576771
Brachinus alternans,UKFS,17,192.816,197.383,78.168,87.024,0.321090471804319,0.4447968376539804,20.34343997768835,21.27777203678826
Brachinus alternans,DELA,8,230.522,196.403,89.756,85.478,0.2567962030393513,0.41996771098996233,19.138357412469087,19.664048136386437
Brachinus alternans,DELA,1,232.737,266.078,97.233,116.651,0.3774747256589841,0.45761287944381096,23.612238781570976,25.72488338547422
Brachinus alternans,UKFS,9,205.125,231.444,83.015,97.501,0.32436306691561767,0.38679603286120146,22.135403126972932,22.85737013761832
Brachinus alternans,DELA,5,201.029,220.675,82.292,94.932,0.32791765906771003,0.4061854801331479,18.061145080600333,20.22665975103733
Brachinus alternans,UKFS,8,201.59,219.93,79.718,93.814,0.2827717704909806,0.3931396166883407,20.015970188980553,19.93167398731088
Brachinus alternans,UKFS,2,285.816,206.527,108.51,91.005,0.21888305225324853,0.4482061425196417,19.674118984463817,22.197160999289032
Brachinus alternans,DELA,4,248.768,254.289,97.653,107.291,0.2731201294379078,0.38946416754434204,20.58640470923474,22.956971234384728
Brachinus alternans,DELA,11,232.588,207.081,86.968,92.783,0.1713388832674088,0.4522164620674045,5.983491040869749,18.086658086658083
Brachinus alternans,UKFS,4,278.045,216.822,106.37,97.117,0.2392873930619536,0.47905104152723005,23.198051310258112,23.883157080216662
Brachinus alternans,UKFS,2,257.813,280.58,101.43,121.487,0.28777482007295685,0.4452328232650407,24.463325225256085,26.953965612867442
Brachinus alternans,UKFS,5,276.58,229.078,104.09,96.996,0.2017869151695648,0.38685100416512014,18.04799085888402,21.004717106841138
Brachinus alternans,DELA,12,185.818,196.268,72.31,81.657,0.2478910247545291,0.3540908923913442,15.859414225941427,18.935463789167887
Brachinus alternans,UKFS,9,217.195,220.386,85.293,93.627,0.27366841358610916,0.3877620771785916,20.56379059206578,20.022035532295824
Brachinus alternans,DELA,7,206.183,211.726,84.139,93.557,0.3242253889397306,0.44631614951313103,18.312316715542543,20.931602643931402
Brachinus alternans,UKFS,7,259.626,208.099,98.253,91.408,0.2078308041484738,0.43458997024330476,16.768854064642532,20.125865324103195
Brachinus alternans,UKFS,1,298.206,233.357,113.894,101.722,0.2305564823432314,0.4367983327107214,20.66034502456301,23.030698595606776
Brachinus alternans,UKFS,3,282.649,191.286,107.441,84.009,0.22281065887324208,0.43714363937197215,20.56226241697649,20.760810369240822
Brachinus alternans,DELA,3,225.406,229.861,89.537,97.098,0.29072897238013345,0.38430245731117013,20.414889938918975,21.21988476483989
Brachinus alternans,UKFS,11,225.374,237.938,88.697,102.008,0.2843500907584248,0.4196533605207434,23.135482336148428,24.570173799289858
Brachinus alternans,DELA,10,200.895,228.007,81.294,91.53,0.2989888552660713,0.28233366109472313,13.885460380153054,11.843510564197818
Brachinus alternans,DELA,9,213.448,234.133,82.577,104.184,0.24807149690591812,0.4585636950011518,19.586038564803488,21.514599686028262
Brachinus alternans,DELA,6,228.422,201.841,89.328,87.482,0.26104916711445464,0.41664570997462336,18.206612633474855,20.235946116491533
Brachinus alternans,UKFS,6,263.037,214.321,100.825,101.437,0.23733201090999256,0.5675739621637075,21.112457687325023,26.216455630243342
Brachinus alternans,DELA,8,216.534,173.282,86.68,74.404,0.2929856945085372,0.39664534164829846,17.213734446369507,18.488750338845215
Brachinus alternans,UKFS,10,198.22,201.301,77.738,90.72,0.2758753762638606,0.4850088183421517,22.096428238366126,23.374090909090906
Brachinus alternans,UKFS,16,173.83,174.222,69.53,74.619,0.29312526966776925,0.39327785148554656,17.669397968696344,18.517685544878326
Brachinus cyanochroaticus,WOOD,41,215.1,193.411,86.926,82.655,0.3200883510112049,0.40627911197144756,21.49942495687178,22.52702421011882
Brachinus cyanochroaticus,WOOD,12,209.211,227.678,87.408,96.403,0.37694490206846054,0.40136717736999894,23.46060458904941,24.585842400434174
Brachinus cyanochroaticus,WOOD,43,190.941,206.844,75.176,88.139,0.2715893370224539,0.4059383473831107,18.358230886026355,23.45230442438302
Brachinus cyanochroaticus,WOOD,27,180.759,263.311,72.065,105.046,0.28764309997918547,0.30211526378919706,17.430652708765493,22.016007058230386
Brachinus cyanochroaticus,WOOD,13,188.083,278.924,75.094,108.676,0.28883798971955144,0.26521035003128574,17.0982019363762,21.941572409964632
Brachinus cyanochroaticus,WOOD,42,194.812,182.699,77.1,77.161,0.2752140077821011,0.3881494537395835,16.824544040718237,22.26911519198664
Brachinus cyanochroaticus,WOOD,2,168.958,253.601,68.44,100.765,0.30677966101694903,0.2965613060090309,16.088778815012375,22.230699728942877
Brachinus cyanochroaticus,WOOD,10,152.97,261.103,59.916,101.353,0.24654516322852,0.2572790149280238,11.23476848090982,21.159687068568793
Brachinus cyanochroaticus,WOOD,10,182.913,220.368,70.437,92.625,0.24103809077615454,0.38914979757085016,19.641889504064086,24.274656679151065
Brachinus cyanochroaticus,WOOD,3,182.748,241.343,75.219,99.192,0.3379864130073518,0.35283087345753683,18.73185697990008,23.59506257500427
Brachinus cyanochroaticus,WOOD,4,175.659,215.639,71.408,75.919,0.31654716558368806,0.0869742752143731,17.63316227216422,9.886415265788232
Brachinus cyanochroaticus,WOOD,4,189.373,210.901,78.039,90.921,0.36207537257012523,0.4349270245597827,24.98867497168743,26.13696135949827
Brachinus cyanochroaticus,WOOD,18,158.087,231.859,60.889,93.895,0.22647768890932685,0.32130571382927736,13.052936910804913,20.906228247538856
Brachinus cyanochroaticus,WOOD,16,205.798,210.258,80.234,91.401,0.25920432734252313,0.44396669620682483,19.300860701062668,25.451095394169396
