parameter,median,mean,lower_95,upper_95,lower_90,upper_90,pd,model
b_AnnualPrecipitation,-0.12497012393799711,-0.13508257276003013,-2.22924001787508,2.0050753188908312,-1.9077358080207587,1.6383220064430917,0.5500833333333334,dorsal
b_Intercept,63.591319900050024,63.62102898711441,57.845997756498434,69.42381325493918,58.799048981840045,68.55245364954082,1,dorsal
b_MajorAxis_Dorsal,-2.773589702539589,-2.770336126525554,-3.790694249816317,-1.7708387459050052,-3.6203564037595464,-1.9293891958752352,1,dorsal
b_meanSoilMoisture,1.75455242467728,1.7772557459484977,-0.11242457494517111,3.7615397406450297,0.228495913936756,3.401262615937917,0.96825,dorsal
b_meanSoilMoisture:MajorAxis_Dorsal,0.03917187637910781,0.03961005358866839,-0.5055317824125288,0.5882073880616723,-0.4205066033300538,0.498910329037305,0.5555833333333333,dorsal
b_meanVPD,0.8282876537707636,0.8298843322313464,-1.2034095874035942,2.8246045597741123,-0.8433790746815015,2.4816465981936875,0.8010833333333334,dorsal
b_meanVPD:MajorAxis_Dorsal,1.2287796958859842,1.2300198601342658,0.4572129753356033,1.9962701653644856,0.5924333180653819,1.8743087695608849,0.9991666666666666,dorsal
b_AnnualPrecipitation,-0.8740407412240352,-0.8903142106500204,-3.4744277781938644,1.6139048226269574,-2.986949575373122,1.2055855835248104,0.7565833333333334,ventral
b_Intercept,64.54607521888477,64.52543091533074,57.20231646886507,71.86449789422939,58.36875344244483,70.68965063366569,1,ventral
b_MajorAxis_Dorsal,-0.7803808723199297,-0.7715943751583825,-1.9979481148640474,0.446252104572153,-1.802515770028018,0.25753725285560075,0.891,ventral
b_meanSoilMoisture,1.6858147843817892,1.680522380536706,-0.7220079154434995,4.0200114425442814,-0.27019608728304323,3.591401656552491,0.9253333333333333,ventral
b_meanSoilMoisture:MajorAxis_Dorsal,-0.7867684628703233,-0.7836036715812158,-1.4609606759985043,-0.10542693599891591,-1.3594433304271945,-0.21419782351344482,0.9878333333333333,ventral
b_meanVPD,-0.11862577202471616,-0.15110222109567972,-2.602749924334451,2.194913306413963,-2.150079715090516,1.79716322638828,0.5423333333333333,ventral
b_meanVPD:MajorAxis_Dorsal,0.3579483590708371,0.3611235067220924,-0.5481147507135774,1.2941915334609622,-0.4026760682883942,1.1440525827087704,0.7806666666666666,ventral
