parameter,median,mean,lower_95,upper_95,lower_90,upper_90,pd,model
b_AnnualPrecipitation,0.7984740598764456,0.8005853117131947,-1.0323002563564614,2.622854827385434,-0.732540595861349,2.3242744501385806,0.8139166666666666,immune_dorsal
b_Intercept,64.28804348405285,64.29723000151007,58.715773775690536,69.90395586514211,59.60696876561836,69.02002005928686,1,immune_dorsal
b_MajorAxis_Dorsal,-2.3644607369082236,-2.3603790592065104,-3.2961510900633884,-1.436427882627184,-3.156868520953731,-1.5726292099645205,1,immune_dorsal
b_meanSoilMoisture,1.6611214583983016,1.6653007155762238,-0.06951468516254186,3.4490767880686537,0.20902667316510362,3.1383609533819357,0.9699166666666666,immune_dorsal
b_AnnualPrecipitation,-0.9557819216368661,-0.9680524376124742,-3.310334460782395,1.3438660412128562,-2.8909465931382776,0.9177099156359791,0.8011666666666667,immune_ventral
b_Intercept,65.00997256312013,65.06274954639298,57.803153373146536,72.32810220619834,59.044207941725745,71.17922604938883,1,immune_ventral
b_MajorAxis_Dorsal,-0.887580134683547,-0.885912533020254,-2.033235720086197,0.2617228006542979,-1.8491278166116274,0.0701506210139015,0.9365833333333333,immune_ventral
b_meanSoilMoisture,0.754746972454144,0.7569629845310988,-1.4300828680540372,2.9058338946998776,-1.0253918733100527,2.5356739132560144,0.7635833333333333,immune_ventral
