parameter,median,mean,lower_95,upper_95,lower_90,upper_90,pd,model
b_AnnualPrecipitation,2.1736267175270987,2.176134017427632,-2.2654620247899686,6.720235313177513,-1.5166733964745198,5.890531809168169,0.8326666666666667,immune_dorsal
b_Intercept,170.58307228192297,170.6280719401966,158.96795272480566,182.42744024702833,160.90214610653655,180.4153139275515,1,immune_dorsal
b_MajorAxis_Dorsal,-6.461898977348913,-6.440923917938916,-8.935626003420131,-3.8803522077707675,-8.522738918009713,-4.31963369651957,1,immune_dorsal
b_meanSoilMoisture,4.3508989737345525,4.349952025150117,0.030738834348190407,8.660776191465171,0.8492578695484194,7.87532854247864,0.9756666666666667,immune_dorsal
b_AnnualPrecipitation,-1.414853772425611,-1.3734973467559712,-7.050824487629513,4.452937765797565,-6.030404585568089,3.3374514323721276,0.6911666666666667,immune_ventral
b_Intercept,166.94944665943234,167.08863335496565,152.72471408359957,182.13141357129547,154.9724336701172,179.44966400307425,1,immune_ventral
b_MajorAxis_Dorsal,-2.8895288958693994,-2.883870235924102,-5.802179579371994,0.009965555770812921,-5.315785127916618,-0.429333445200073,0.9743333333333334,immune_ventral
b_meanSoilMoisture,2.4784451713449434,2.450674004230154,-2.7525121759389783,7.797644795335135,-1.9680578645803202,6.9076678338420665,0.8168333333333333,immune_ventral
b_Intercept,171.91431825675647,171.92991212852453,160.3385913399768,183.50648176111176,162.39164636881912,181.5318998083452,1,structural_dorsal
b_MajorAxis_Dorsal,-6.518842549898629,-6.520266587836472,-9.110274798100681,-3.9433374284643956,-8.69937833642751,-4.334300417235538,1,structural_dorsal
b_mammalAbundance,0.5884987285183969,0.5263012981121068,-5.6578664442274045,6.510419521371187,-4.61887191341072,5.484647981129992,0.5780833333333333,structural_dorsal
b_mammalAbundance:MajorAxis_Dorsal,1.2053284159603272,1.2108730442288096,-0.6044498752921623,3.0277548981649343,-0.3150115086679155,2.738052089327573,0.9048333333333334,structural_dorsal
b_Intercept,165.99500432648352,166.02484767830865,151.72239920614405,180.12762887038429,154.2740493611401,177.87793596539922,1,structural_ventral
b_MajorAxis_Dorsal,-2.334801244032583,-2.3368451921002964,-5.281406568121468,0.6403472597578966,-4.799710767599833,0.1490378528520227,0.9383333333333334,structural_ventral
b_mammalAbundance,3.5942842825879664,3.6026565887129958,-3.173190106938895,10.43193933725846,-1.9303552533257555,9.268711846848673,0.8649166666666667,structural_ventral
b_mammalAbundance:MajorAxis_Dorsal,-1.9269304774138707,-1.9304757304386153,-3.971380123957385,0.03985120652197561,-3.64539895258319,-0.2515652375906033,0.9721666666666666,structural_ventral
