"siteName","longitude","latitude","meanSoilMoisture"
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"Dead Lake NEON",-87.80388,32.54173,400.5
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
