"siteName","longitude","latitude","meanSoilMoisture"
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"Dead Lake NEON",-87.80388,32.54173,400.5
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"Dead Lake NEON",-87.80388,32.54173,400.5
"KU Field Station NEON",-95.19215,39.04043,427
"KU Field Station NEON",-95.19215,39.04043,427
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Niwot Ridge NEON",-105.58237,40.05425,366
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Chase Lake National Wildlife Refuge NEON",-99.24133,47.1282,416
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"Treehaven NEON",-89.58571,45.49369,349
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
"University of Notre Dame Environmental Research Center NEON",-89.53725,46.23391,371
