CHELSA_rsds_1981-2010_mean_V.2.1,siteCode
13.135,ABBY
17.799,ARIK
13.113,BART
16.453,BLWA
16.606,BLDE
15.058,BLAN
16.624,BLUE
9.476,CARI
9.476,BONA
17.646,CPER
14.421,WOOD
19.364,COMO
13.458,CRAM
14.211,DCFS
16.456,DELA
9.491,DEJU
17.177,DSNY
16.977,FLNT
15.219,GRSM
21.19,GUAN
14.001,HARV
9.619,HEAL
21.011,JORN
15.808,UKFS
15.905,KING
15.933,KONA
15.815,KONZ
21.123,LAJA
16.725,BARC
16.706,SUGG
15.219,LECO
16.515,LENO
15.004,LEWI
13.401,LIRO
14.001,HOPB
20.568,TEAK
16.515,TOMB
17.108,CLBJ
12.978,MART
17.624,OAES
16.185,MAYF
16.109,MCDI
15.428,MCRA
20.032,MOAB
14.282,MLBS
19.053,NIWO
17.579,STER
14.683,NOGP
15.433,ORNL
8.867,OKSR
19.119,ONAQ
16.71,OSBS
14.748,POSE
14.288,PRLA
14.434,PRPO
17.219,PRIN
20.128,PUUM
18.848,REDB
21.439,CUPE
20.165,GUIL
18.852,RMNP
19.63,SJER
21.073,SRER
14.625,SCBI
15.061,SERC
19.651,SOAP
13.644,STEI
20.613,SYCA
16.22,TALL
20.366,TECR
16.972,JERC
8.841,TOOL
8.713,TOOK
13.755,TREE
13.458,UNDE
19.97,BIGC
7.552,BARR
15.456,WALK
18.879,WLOU
14.02,WREF
16.428,YELL
