siteCode,CHELSA_vpd_01_1981-2010_V.2.1,CHELSA_vpd_02_1981-2010_V.2.1,CHELSA_vpd_03_1981-2010_V.2.1,CHELSA_vpd_04_1981-2010_V.2.1,CHELSA_vpd_05_1981-2010_V.2.1,CHELSA_vpd_06_1981-2010_V.2.1,CHELSA_vpd_07_1981-2010_V.2.1,CHELSA_vpd_08_1981-2010_V.2.1,CHELSA_vpd_09_1981-2010_V.2.1,CHELSA_vpd_10_1981-2010_V.2.1,CHELSA_vpd_11_1981-2010_V.2.1,CHELSA_vpd_12_1981-2010_V.2.1
ABBY,270.2,312.5,363.6,428.7,547.1,651.6,850.9,884.4,728.9,487.6,314.8,258.7
ARIK,271.7,301,430.1,608.6,838.3,1184.6,1461.9,1336.8,1035.3,649,394.5,266.7
BART,112.1,142.3,217.9,380.8,607.1,798.7,923.1,852,622.6,398.4,255.9,146.5
BLWA,455.5,539.6,724.7,946,1216.2,1457.4,1489.1,1492.9,1333.3,952.6,670.7,488
BLDE,134.9,161.8,232.9,312.1,423,626.8,888.9,856.1,592.8,341.7,178.5,120.2
BLAN,286.8,325.4,447.5,663.6,859.2,1179.2,1356.8,1267.8,964,647.5,460.9,320.6
BLUE,387.1,463.7,628.8,852.2,1042.2,1355.2,1677.5,1723.2,1297.1,888.3,587.5,405.4
CARI,46.4,59.6,97.5,249.9,552.1,797.7,807.7,605.3,380.6,158.1,64.1,50.9
BONA,46.4,59.6,97.5,249.9,552.1,797.7,807.7,605.3,380.6,158.1,64.1,50.9
CPER,271.3,296.6,398.4,544,747.5,1061.6,1386.6,1252.2,929.7,580.2,362.8,261.8
WOOD,78,101.1,184.7,404.2,644.3,844.3,1010.3,970.1,684.9,407.4,193.5,98.7
COMO,142.8,148.6,197.3,256.6,380.3,603.1,760.8,679.9,515.3,328,196,135.2
CRAM,90.8,119.6,196.4,373.2,601.8,770.3,878.8,794.2,582.8,363.7,205.4,110.6
DCFS,80.9,103.7,187.4,406.1,649.2,853.2,1014.2,973.9,688.1,410.9,196.6,101.5
DELA,455.6,539.4,724.3,945.1,1214.8,1455.6,1488.3,1492.6,1332.4,952.4,671,488.3
DEJU,72.3,89.6,133.6,283.8,524.4,751.4,789.1,628.9,399.1,178.4,91.5,79.9
