"predictor","mean","min","max","sd","n"
"AnnualPrecipitation",898.8,249.3,1429,343.182176474828,17
"meanSoilMoisture",373.205882352941,250,438,42.0108091832958,17
"meanVPD",677.7,316.825,979.983333333333,201.47256186827,17
"mammalAbundance",244.879951304865,43.25,677.42099280835,199.635238280791,17
"MajorAxis_Dorsal",15.543703089676,3.03,38.822,6.6743988242046,2654
